Name,ID,Software
7/16in-14 Tap Drill,9.3472,SW
7/16in-20 Tap Drill,9.92124,SW
7/8in-14 Tap Drill,20.6375,SW
7/8in-9 Tap Drill,19.44624,SW
9/16in-12 Tap Drill,12.30376,SW
9/16in-18 Tap Drill,13.09624,SW
1-5/8-12 Tap Drill,38.9128,SW
30 UNM Tap Drill,0.2413,SW
35 UNM Tap Drill,0.2794,SW
40 UNM Tap Drill,0.3175,SW
45 UNM Tap Drill,0.3683,SW
50 UNM Tap Drill,0.39624,SW
55 UNM Tap Drill,0.44958,SW
60 UNM Tap Drill,0.48006,SW
70 UNM Tap Drill,0.55118,SW
80 UNM Tap Drill,0.635,SW
90 UNM Tap Drill,0.7112,SW
100 UNM Tap Drill,0.79248,SW
110 UNM Tap Drill,0.889,SW
120 UNM Tap Drill,0.9906,SW
140 UNM Tap Drill,1.15062,SW
1-5/8-8 Tap Drill,38.1,SW
1-7/8-8 Tap Drill,44.45,SW
1-7/8-8 Tap Drill,45.6819,SW
#0 Close Fit Drill,1.6129,SW
#00 Close Fit Drill,1.3208,SW
#000 Close Fit Drill,0.9398,SW
#0000 Close Fit Drill,0.6096,SW
#1 Close Fit Drill,1.9304,SW
#10 Close Fit Drill,4.9784,SW
#12 Close Fit Drill,5.6134,SW
#2 Close Fit Drill,2.2606,SW
#3 Close Fit Drill,2.6416,SW
#4 Close Fit Drill,2.9464,SW
#5 Close Fit Drill,3.2639,SW
#6 Close Fit Drill,3.6576,SW
#8 Close Fit Drill,4.3053,SW
1in Close Fit Drill,25.79624,SW
1.5in Close Fit Drill,38.49624,SW
1.25in Close Fit Drill,32.14624,SW
1.125in Close Fit Drill,28.97124,SW
1.75in Close Fit Drill,44.84624,SW
1.375in Close Fit Drill,35.32124,SW
0.5in Close Fit Drill,13.09624,SW
0.25in Close Fit Drill,6.5278,SW
2in Close Fit Drill,51.19624,SW
2.5in Close Fit Drill,63.89624,SW
2.25in Close Fit Drill,57.54624,SW
2.75in Close Fit Drill,70.24624,SW
3in Close Fit Drill,76.59624,SW
3.5in Close Fit Drill,89.29624,SW
3.25in Close Fit Drill,82.94624,SW
3.75in Close Fit Drill,95.64624,SW
0.75in Close Fit Drill,19.44624,SW
0.375in Close Fit Drill,9.8044,SW
4in Close Fit Drill,101.99624,SW
0.3125in Close Fit Drill,8.2042,SW
0.625in Close Fit Drill,16.27124,SW
0.4375in Close Fit Drill,11.50874,SW
0.875in Close Fit Drill,22.62124,SW
0.5625in Close Fit Drill,14.68374,SW
#0 Normal Fit Drill,1.778,SW
#00 Normal Fit Drill,1.397,SW
#000 Normal Fit Drill,1.0414,SW
#0000 Normal Fit Drill,0.6604,SW
#1 Normal Fit Drill,2.0574,SW
#10 Normal Fit Drill,5.1054,SW
#12 Normal Fit Drill,5.7912,SW
#2 Normal Fit Drill,2.4384,SW
#3 Normal Fit Drill,2.794,SW
#4 Normal Fit Drill,3.2639,SW
#5 Normal Fit Drill,3.4544,SW
#6 Normal Fit Drill,3.7973,SW
#8 Normal Fit Drill,4.4958,SW
1in Normal Fit Drill,26.19248,SW
1.5in Normal Fit Drill,38.89248,SW
1.25in Normal Fit Drill,32.54248,SW
1.125in Normal Fit Drill,29.36748,SW
1.75in Normal Fit Drill,45.24248,SW
1.375in Normal Fit Drill,35.71748,SW
0.5in Normal Fit Drill,13.49248,SW
0.25in Normal Fit Drill,6.7564,SW
2in Normal Fit Drill,51.59248,SW
2.5in Normal Fit Drill,64.29248,SW
2.25in Normal Fit Drill,57.94248,SW
2.75in Normal Fit Drill,70.64248,SW
3in Normal Fit Drill,76.99248,SW
3.5in Normal Fit Drill,89.69248,SW
3.25in Normal Fit Drill,83.34248,SW
3.75in Normal Fit Drill,96.04248,SW
0.75in Normal Fit Drill,19.84248,SW
0.375in Normal Fit Drill,10.0838,SW
4in Normal Fit Drill,102.39248,SW
0.3125in Normal Fit Drill,8.4328,SW
0.625in Normal Fit Drill,16.66748,SW
0.4375in Normal Fit Drill,11.90498,SW
0.875in Normal Fit Drill,23.01748,SW
0.5625in Normal Fit Drill,15.07998,SW
#0 Loose Fit Drill,1.8542,SW
#00 Loose Fit Drill,1.5113,SW
#000 Loose Fit Drill,1.0922,SW
#0000 Loose Fit Drill,0.7112,SW
#1 Loose Fit Drill,2.2606,SW
#10 Loose Fit Drill,5.6134,SW
#12 Loose Fit Drill,6.2484,SW
#2 Loose Fit Drill,2.7051,SW
#3 Loose Fit Drill,3.048,SW
#4 Loose Fit Drill,3.4544,SW
#5 Loose Fit Drill,3.9116,SW
#6 Loose Fit Drill,4.3053,SW
#8 Loose Fit Drill,4.9149,SW
1in Loose Fit Drill,26.59126,SW
1.5in Loose Fit Drill,39.29126,SW
1.25in Loose Fit Drill,32.94126,SW
1.125in Loose Fit Drill,29.76626,SW
1.75in Loose Fit Drill,45.64126,SW
1.375in Loose Fit Drill,36.11626,SW
0.5in Loose Fit Drill,13.89126,SW
0.25in Loose Fit Drill,7.14248,SW
2in Loose Fit Drill,51.99126,SW
2.5in Loose Fit Drill,64.69126,SW
2.25in Loose Fit Drill,58.34126,SW
2.75in Loose Fit Drill,71.04126,SW
3in Loose Fit Drill,77.39126,SW
3.5in Loose Fit Drill,90.09126,SW
3.25in Loose Fit Drill,83.74126,SW
3.75in Loose Fit Drill,96.44126,SW
0.75in Loose Fit Drill,20.24126,SW
0.375in Loose Fit Drill,10.31748,SW
4in Loose Fit Drill,102.79126,SW
0.3125in Loose Fit Drill,8.72998,SW
0.625in Loose Fit Drill,17.06626,SW
0.4375in Loose Fit Drill,12.30376,SW
0.875in Loose Fit Drill,23.41626,SW
0.5625in Loose Fit Drill,15.47876,SW
